Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
Night in Paradise // 낙원의 밤,Yes,2021-04-09,4200000,8433.0,6.8,"['Action', 'Crime', 'Drama']","island,sister,love,demon,extreme violence","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",Crime
Night in Paradise // 낙원의 밤,Yes,2021-04-09,4200000,8433.0,6.8,"['Action', 'Crime', 'Drama']","island,sister,love,demon,extreme violence","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",Drama
Slasher: The Executioner,Yes,2016-05-17,4200000,763.0,3.9,"['Horror', 'Thriller']","female nudity,bath,rape,hanging,torture","Four female friends are held hostage in a lakefront mansion by unknown intruders. But as the women fight back, will they get a taste for violence?",Horror
Slasher: The Executioner,Yes,2016-05-17,4200000,763.0,3.9,"['Horror', 'Thriller']","female nudity,bath,rape,hanging,torture","Four female friends are held hostage in a lakefront mansion by unknown intruders. But as the women fight back, will they get a taste for violence?",Thriller
Spirit Riding Free: Season 8,No,2019-04-05,4200000,4510.0,5.5,"['Animation', 'Adventure', 'Comedy']","horse,cgi animation,wild horse,female protagonist,brown haired girl",Lucky Prescott&apos;s life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,Animation
Spirit Riding Free: Season 8,No,2019-04-05,4200000,4510.0,5.5,"['Animation', 'Adventure', 'Comedy']","horse,cgi animation,wild horse,female protagonist,brown haired girl",Lucky Prescott&apos;s life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,Adventure
Spirit Riding Free: Season 8,No,2019-04-05,4200000,4510.0,5.5,"['Animation', 'Adventure', 'Comedy']","horse,cgi animation,wild horse,female protagonist,brown haired girl",Lucky Prescott&apos;s life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,Comedy
Spy Kids: Mission Critical: Season 1,Yes,2018-04-20,4200000,444.0,4.9,"['Animation', 'Action', 'Adventure']","superhero,the weinstein company,superhero action,superhero sci fi","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Animation
Spy Kids: Mission Critical: Season 1,Yes,2018-04-20,4200000,444.0,4.9,"['Animation', 'Action', 'Adventure']","superhero,the weinstein company,superhero action,superhero sci fi","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Action
Spy Kids: Mission Critical: Season 1,Yes,2018-04-20,4200000,444.0,4.9,"['Animation', 'Action', 'Adventure']","superhero,the weinstein company,superhero action,superhero sci fi","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Adventure
The Innocence Files: Limited Series,Yes,2020-04-15,4200000,46265.23757763975,6.6,['Comedy'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Comedy
The Wandering Earth // 流浪地球,Yes,2019-04-30,4200000,35311.0,5.9,"['Action', 'Adventure', 'Sci-Fi']","planet earth,jupiter,ai,survival,astronaut","As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save hu...",Action
The Wandering Earth // 流浪地球,Yes,2019-04-30,4200000,35311.0,5.9,"['Action', 'Adventure', 'Sci-Fi']","planet earth,jupiter,ai,survival,astronaut","As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save hu...",Adventure
